university,city,country,coursename,coursedescription,startdate,enddate,price,currency,timestamp
Universitas Syiah Kuala,Noeltoko,Indonesia,Chemical Engineer,Programmable coherent methodology,2017-11-14,2017-12-02,5794.57,IDR,2024-08-02 21:09:34.366232
Xiangtan Normal University,Yujiawu,China,Staff Accountant II,Monitored 3rd generation frame,2016-11-29,2017-07-06,1399.33,CNY,2024-08-02 21:09:34.366232
Universidade de Vila Velha,Promissão,Brazil,Registered Nurse,Implemented upward-trending attitude,2018-09-16,2019-03-05,9816.48,BRL,2024-08-02 21:09:34.366232
Toho College of Music,Wako,Japan,Chief Design Engineer,Operative composite product,2016-06-26,2016-12-25,1329.71,JPY,2024-08-02 21:09:34.366232
Universidad Amazonica de Pando,Colquechaca,Bolivia,Systems Administrator IV,Exclusive content-based paradigm,2019-05-17,2019-08-19,2904.49,BOB,2024-08-02 21:09:34.366232
Academy of Sports and Physical Training,Suç,Albania,Technical Writer,Extended high-level forecast,2018-07-27,2019-01-08,3693.46,ALL,2024-08-02 21:09:34.366232
Saint Paul University,Calubcub Dos,Philippines,Chief Design Engineer,Universal secondary policy,2019-09-24,2020-01-15,2929.13,PHP,2024-08-02 21:09:34.366232
University of Asia and the Pacific,Tubo,Philippines,Software Consultant,Organized holistic strategy,2017-08-19,2018-03-11,1627.25,PHP,2024-08-02 21:09:34.366232
Mongolian State University of Agriculture,Hoolt,Mongolia,Speech Pathologist,Programmable tangible hub,2016-04-20,2016-10-12,752.49,MNT,2024-08-02 21:09:34.366232
Privredna Akademija (Business Academy),Banatski Despotovac,Serbia,Cost Accountant,Persevering stable model,2017-04-07,2017-11-07,5391.42,RSD,2024-08-02 21:09:34.366232
American University,Starcevica,Bosnia and Herzegovina,Account Coordinator,Fundamental composite orchestration,2016-07-23,2016-08-28,5858.82,BAM,2024-08-02 21:09:34.366232
International Institute for Geo - Information Science and Earth Observation,Groningen,Netherlands,Account Representative II,Exclusive intermediate task-force,2017-04-17,2017-05-07,3683.3,EUR,2024-08-02 21:09:34.366232
University of Ioannina,Panaitólion,Greece,Structural Engineer,Down-sized attitude-oriented approach,2019-12-04,2020-03-25,1277.67,EUR,2024-08-02 21:09:34.366232
Université Rennes I,Paris 08,France,Staff Accountant II,Down-sized zero tolerance hierarchy,2018-12-23,2019-07-26,8176.64,EUR,2024-08-02 21:09:34.366232
Universidade da Madeira,Boavista,Portugal,VP Product Management,Multi-lateral content-based standardization,2018-05-06,2018-07-30,7263.49,EUR,2024-08-02 21:09:34.366232
Universidad Nacional de Formosa,Retiro,Argentina,Help Desk Technician,Visionary leading edge projection,2017-01-24,2017-02-14,341.91,ARS,2024-08-02 21:09:34.366232
Oulu Polytechnic,Urjala,Finland,Senior Quality Engineer,Networked static software,2016-07-18,2016-10-04,8046.67,EUR,2024-08-02 21:09:34.366232
Ludong University,Shufeng,China,Nuclear Power Engineer,Optional 4th generation leverage,2018-08-11,2018-09-29,1949.05,CNY,2024-08-02 21:09:34.366232
Södertörn University College,Katrineholm,Sweden,Marketing Assistant,Inverse uniform monitoring,2016-07-07,2016-11-03,6035.25,SEK,2024-08-02 21:09:34.366232
Water Resources University,Thị Trấn Kim Tân,Vietnam,Cost Accountant,De-engineered zero tolerance pricing structure,2017-10-13,2018-01-18,6912.24,VND,2024-08-02 21:09:34.366232
Universitas Islam Jakarta,Neglasari,Indonesia,Research Assistant I,Multi-tiered eco-centric budgetary management,2017-07-01,2017-08-16,6416.21,IDR,2024-08-02 21:09:34.366232
International University Institute of Luxembourg,Tandel,Luxembourg,Nurse Practicioner,Universal 24 hour portal,2017-10-18,2018-03-14,1427.19,EUR,2024-08-02 21:09:34.366232
Chuka University,Kakamega,Kenya,Human Resources Assistant IV,Exclusive value-added framework,2016-08-18,2017-03-25,1377.23,KES,2024-08-02 21:09:34.366232
Universitas Udayana,Dasanlian Lauk,Indonesia,Financial Advisor,Enterprise-wide discrete instruction set,2019-04-16,2019-10-30,954.23,IDR,2024-08-02 21:09:34.366232
Ho Chi Minh City University of Economics,Quận Tân Phú,Vietnam,Quality Engineer,Assimilated bi-directional workforce,2017-10-07,2017-12-25,7849.61,VND,2024-08-02 21:09:34.366232
Technological Education Institute of Lamia,Íasmos,Greece,Design Engineer,Cross-group holistic superstructure,2017-06-26,2018-01-13,8772.11,EUR,2024-08-02 21:09:34.366232
Technological Education Institute of Lamia,Drosáto,Greece,General Manager,Cross-platform high-level orchestration,2016-03-03,2016-05-19,6670.91,EUR,2024-08-02 21:09:34.366232
Shanghai TieDao University,Xinzhou,China,Nurse,Diverse multi-tasking data-warehouse,2019-11-22,2020-06-01,645.58,CNY,2024-08-02 21:09:34.366232
Universitas Diponegoro,Karangturi,Indonesia,Clinical Specialist,Virtual grid-enabled middleware,2019-11-11,2020-03-15,6061.65,IDR,2024-08-02 21:09:34.366232
Cape Peninsula University of Technology,Margate,South Africa,Help Desk Technician,User-friendly optimal workforce,2017-06-19,2017-08-27,3514.93,ZAR,2024-08-02 21:09:34.366232
Universitas Kristen Indonesia,Cihaur,Indonesia,Desktop Support Technician,Total regional definition,2017-04-09,2017-10-20,3747.1,IDR,2024-08-02 21:09:34.366232
Shandong Agricultural University,Caopie,China,Associate Professor,Self-enabling exuding alliance,2016-02-28,2016-05-22,1693.41,CNY,2024-08-02 21:09:34.366232
American Graduate School in Paris,Orléans,France,Web Designer I,Distributed neutral strategy,2016-06-29,2017-01-10,3572.46,EUR,2024-08-02 21:09:34.366232
Queen Arwa University,Qaryat ad Da‘īs,Yemen,Clinical Specialist,Phased dynamic projection,2018-05-23,2018-08-15,7390.78,YER,2024-08-02 21:09:34.366232
Blekinge Institute of Technology,Stockholm,Sweden,Desktop Support Technician,Open-source multi-tasking interface,2019-06-19,2019-12-26,2794.91,SEK,2024-08-02 21:09:34.366232
Universidade Federal Rural de Pernambuco,Pouso Alegre,Brazil,Staff Accountant III,Universal grid-enabled Graphical User Interface,2019-05-12,2019-12-06,1549.97,BRL,2024-08-02 21:09:34.366232
Vologda State Pedagogical University,Nagornyy,Russia,Junior Executive,Mandatory multi-state model,2018-03-07,2018-07-19,3941.5,RUB,2024-08-02 21:09:34.366232
Tianjin University of Finance & Economics,Guandu,China,Financial Analyst,Organized web-enabled model,2019-05-22,2019-09-08,3823.16,CNY,2024-08-02 21:09:34.366232
University of Belgrade,Duboka,Serbia,Structural Analysis Engineer,Customizable mobile groupware,2018-08-10,2019-02-20,845.11,RSD,2024-08-02 21:09:34.366232
Centro de Estudios Investigación y Tecnología (CEIT),El Charco,Colombia,Mechanical Systems Engineer,Re-contextualized web-enabled application,2017-11-23,2018-01-05,4565.1,COP,2024-08-02 21:09:34.366232
Institut Teknologi Bandung,Paciran,Indonesia,Structural Analysis Engineer,Multi-lateral maximized core,2018-07-08,2018-12-04,1962.4,IDR,2024-08-02 21:09:34.366232
Institut Sains & Teknologi Akprind,Kebon,Indonesia,Dental Hygienist,Right-sized explicit info-mediaries,2018-08-29,2019-01-31,5328.83,IDR,2024-08-02 21:09:34.366232
Ramkhamhaeng University,Phayuha Khiri,Thailand,Tax Accountant,Pre-emptive stable internet solution,2019-02-14,2019-08-23,2428.57,THB,2024-08-02 21:09:34.366232
Universitas Dian Nuswantoro,Kabongan Kidul,Indonesia,Physical Therapy Assistant,Multi-tiered optimal model,2019-03-21,2019-05-04,487.91,IDR,2024-08-02 21:09:34.366232
Leyte Normal University,Anulid,Philippines,Director of Sales,Persevering didactic access,2018-03-14,2018-06-26,747.35,PHP,2024-08-02 21:09:34.366232
State University of Tetova,Čair,Macedonia,Assistant Manager,Integrated zero administration protocol,2019-04-13,2019-05-15,4874.47,MKD,2024-08-02 21:09:34.366232
Universidade Catolica Portuguesa,Fojo,Portugal,Graphic Designer,Assimilated regional success,2018-04-09,2018-08-05,2364.23,EUR,2024-08-02 21:09:34.366232
Zhejiang Sci-Tech University,Gaozhai,China,Human Resources Manager,Face to face web-enabled database,2018-11-02,2019-04-29,8541.1,CNY,2024-08-02 21:09:34.366232
St. Petersburg StateMechnikov  Medical Academy,Severka,Russia,Account Representative III,Mandatory non-volatile matrix,2016-03-10,2016-08-18,9997.83,RUB,2024-08-02 21:09:34.366232
Universidade Tecnica de Lisboa,Alhos Vedros,Portugal,Statistician III,Universal non-volatile extranet,2019-09-27,2020-01-09,4555.84,EUR,2024-08-02 21:09:34.366232
University of Hydraulic Electric Engineering,Zhaowu,China,Research Nurse,Optimized uniform model,2018-08-27,2019-01-15,5920.71,CNY,2024-08-02 21:09:34.366232
Ural State Forestry Technical Academy,Sovetskaya Gavan’,Russia,Analog Circuit Design manager,De-engineered foreground leverage,2019-04-24,2019-05-09,1772.1,RUB,2024-08-02 21:09:34.366232
Ivanovo State University,Dzhalka,Russia,Teacher,Implemented national matrices,2018-07-15,2019-02-08,8101.46,RUB,2024-08-02 21:09:34.366232
"University of Houston, Clear Lake",Moutsamoudou,Comoros,Assistant Professor,Profound asymmetric installation,2017-04-27,2017-05-04,5530.83,KMF,2024-08-02 21:09:34.366232
STMIK AMIKOM Yogyakarta,Sindangpanji,Indonesia,Director of Sales,Implemented multimedia budgetary management,2016-04-08,2016-07-31,5293.75,IDR,2024-08-02 21:09:34.366232
King Mongkut's University of Technology North Bangkok,Kap Choeng,Thailand,Clinical Specialist,Diverse fault-tolerant customer loyalty,2016-12-21,2016-12-29,5608.14,THB,2024-08-02 21:09:34.366232
Srinakharinwirot University,Ban Chang,Thailand,Nurse Practicioner,Open-source system-worthy emulation,2016-05-18,2016-08-26,6105.55,THB,2024-08-02 21:09:34.366232
Siam University,Trat,Thailand,Help Desk Technician,Team-oriented client-driven encoding,2019-04-24,2019-06-18,5242.06,THB,2024-08-02 21:09:34.366232
Addis Ababa University,Debre Werk’,Ethiopia,Paralegal,Cross-group analyzing leverage,2017-01-24,2017-08-06,8561.94,ETB,2024-08-02 21:09:34.366232
Universidad Nacional de Santiago del Estero,Cruz de los Milagros,Argentina,Structural Engineer,Versatile foreground migration,2019-03-20,2019-03-29,3972.84,ARS,2024-08-02 21:09:34.366232
Heilongjiang University,Mamu,China,Registered Nurse,Compatible multi-state productivity,2017-03-16,2017-04-16,1964.81,CNY,2024-08-02 21:09:34.366232
Universitas Pancasila,Krajan,Indonesia,Research Associate,Centralized holistic archive,2016-07-28,2016-12-22,6100.46,IDR,2024-08-02 21:09:34.366232
Oakton Community College,Memphis,United States,Safety Technician IV,Enhanced bottom-line moratorium,2018-05-21,2018-11-25,389.28,USD,2024-08-02 21:09:34.366232
University of Maiduguri,Ejigbo,Nigeria,Software Engineer III,Face to face systematic alliance,2019-01-01,2019-07-14,6786.31,NGN,2024-08-02 21:09:34.366232
Universidad Cardenal Herrera-CEU,Leon,Spain,Recruiting Manager,Right-sized zero tolerance customer loyalty,2018-05-07,2018-06-15,589.74,EUR,2024-08-02 21:09:34.366232
Medical Academy in Bialystok,Strzelce,Poland,Marketing Assistant,Adaptive impactful installation,2019-01-15,2019-07-04,8836.77,PLN,2024-08-02 21:09:34.366232
Pacific University,Petaluma,United States,VP Quality Control,Cross-group logistical conglomeration,2018-08-03,2018-12-31,7166.92,USD,2024-08-02 21:09:34.366232
Universidade Estadual de Campinas,Cametá,Brazil,Programmer Analyst IV,Fully-configurable demand-driven emulation,2017-01-17,2017-08-18,4149.53,BRL,2024-08-02 21:09:34.366232
Mid-Sweden University,Älvsjö,Sweden,Project Manager,Vision-oriented content-based focus group,2017-09-21,2018-02-18,5363.87,SEK,2024-08-02 21:09:34.366232
University of New York in Prague,Chrastava,Czech Republic,Physical Therapy Assistant,Reactive responsive superstructure,2019-10-21,2020-04-06,6163.51,CZK,2024-08-02 21:09:34.366232
Liaoning Normal University,Huangchuan,China,Librarian,Open-architected demand-driven productivity,2019-04-24,2019-10-30,3503.46,CNY,2024-08-02 21:09:34.366232
Odessa National Polytechnic University,Kozelets’,Ukraine,Information Systems Manager,Innovative next generation paradigm,2017-08-31,2018-03-12,2611.58,UAH,2024-08-02 21:09:34.366232
Universidade Federal de Campina Grande,Barreiro do Jaíba,Brazil,Legal Assistant,Inverse next generation process improvement,2016-03-02,2016-08-06,3335.31,BRL,2024-08-02 21:09:34.366232
Instituto Superior de Saúde do Alto Ave,Setúbal,Portugal,Editor,Innovative bottom-line installation,2019-09-15,2020-02-14,7113.45,EUR,2024-08-02 21:09:34.366232
Hebei Medical University,Erdu,China,Nuclear Power Engineer,Streamlined bandwidth-monitored attitude,2019-05-30,2019-07-14,4336.17,CNY,2024-08-02 21:09:34.366232
Shahrekord University,Kangān,Iran,Programmer Analyst II,Compatible optimizing software,2016-08-20,2016-12-08,7846.88,IRR,2024-08-02 21:09:34.366232
Sichuan Agricultural University,Lijia,China,Mechanical Systems Engineer,Visionary discrete product,2018-12-19,2019-06-19,8471.8,CNY,2024-08-02 21:09:34.366232
Texas Wesleyan University,Honolulu,United States,Registered Nurse,Proactive zero tolerance collaboration,2019-03-17,2019-04-15,6375.71,USD,2024-08-02 21:09:34.366232
Université Lumière de Bujumbura,Bujumbura,Burundi,Registered Nurse,Re-contextualized value-added approach,2016-04-04,2016-07-03,7875.74,BIF,2024-08-02 21:09:34.366232
Bayan College for Science & Technology,Al Lagowa,Sudan,Programmer Analyst III,Stand-alone zero tolerance matrix,2017-05-20,2017-07-14,114.69,SDG,2024-08-02 21:09:34.366232
Estonian Business School,Toila,Estonia,Electrical Engineer,Inverse context-sensitive initiative,2017-09-28,2018-04-24,7757.06,EUR,2024-08-02 21:09:34.366232
Bates College,Montgomery,United States,Actuary,Public-key homogeneous knowledge user,2019-06-05,2019-11-21,3054.05,USD,2024-08-02 21:09:34.366232
"Federal College Of Education (Technical), Akoka",Madara,Nigeria,Account Representative IV,Synchronised solution-oriented extranet,2016-10-19,2017-01-01,6922.05,NGN,2024-08-02 21:09:34.366232
Akaki Tsereteli State University,Tsinandali,Georgia,Marketing Manager,Balanced regional protocol,2018-11-22,2019-05-19,2052.56,GEL,2024-08-02 21:09:34.366232
Universidad Militar Nueva Granada,El Tambo,Colombia,Administrative Assistant I,Cloned content-based info-mediaries,2016-09-26,2017-03-31,2974.6,COP,2024-08-02 21:09:34.366232
"Washington State University, Tri-Cities",Albany,United States,Product Engineer,Down-sized client-server application,2016-12-07,2016-12-11,7754.44,USD,2024-08-02 21:09:34.366232
Ecole Nationale des Ponts et Chausees,Villeneuve-la-Garenne,France,Paralegal,Front-line actuating frame,2019-08-26,2020-01-15,710.53,EUR,2024-08-02 21:09:34.366232
Universitas Pelita Harapan,Ampelgading,Indonesia,Senior Quality Engineer,Proactive user-facing synergy,2016-11-23,2016-12-05,7482.17,IDR,2024-08-02 21:09:34.366232
Assumption University of Thailand,Kui Buri,Thailand,Research Assistant III,Diverse modular infrastructure,2017-10-30,2018-05-15,3057.23,THB,2024-08-02 21:09:34.366232
Beijing Polytechnic University,Shuozhou,China,Assistant Media Planner,Diverse motivating secured line,2016-10-07,2017-01-19,5586.12,CNY,2024-08-02 21:09:34.366232
Omsk State Technical University,Rasshevatskaya,Russia,Automation Specialist I,Self-enabling responsive strategy,2018-04-30,2018-08-03,5610.76,RUB,2024-08-02 21:09:34.366232
University of Osijek,Bjelovar,Croatia,Computer Systems Analyst I,Proactive neutral synergy,2016-07-07,2016-07-24,1752.37,HRK,2024-08-02 21:09:34.366232
International Turkmen Turkish University,Türkmenabat,Turkmenistan,Human Resources Manager,Future-proofed foreground algorithm,2018-01-26,2018-07-07,1669.61,TMT,2024-08-02 21:09:34.366232
Instituts Supérieurs des Etudes Technologiques,Ariana,Tunisia,Engineer IV,Managed encompassing methodology,2018-03-09,2018-04-08,3394.97,TND,2024-08-02 21:09:34.366232
Universidad José Maria Vargas,Santa Cruz de Guacas,Venezuela,Administrative Officer,Automated maximized model,2017-03-17,2017-09-07,8779.62,VEF,2024-08-02 21:09:34.366232
Guangdong Peizheng College,Qabqir,China,Community Outreach Specialist,Compatible needs-based installation,2018-01-15,2018-05-30,5979.89,CNY,2024-08-02 21:09:34.366232
Universidad Nacional Abierta y a Distancia,Quimbaya,Colombia,Accountant II,Face to face fresh-thinking time-frame,2016-09-16,2016-12-04,3557.93,COP,2024-08-02 21:09:34.366232
Swiss German University,Panji,Indonesia,Paralegal,Intuitive bifurcated software,2016-10-09,2017-02-20,5341.68,IDR,2024-08-02 21:09:34.366232
Warsaw School of Economics,Chyżne,Poland,Librarian,Reverse-engineered local knowledge base,2019-07-06,2019-08-11,1355.39,PLN,2024-08-02 21:09:34.366232
Université de N'Djamena,Bousso,Chad,Dental Hygienist,Future-proofed secondary strategy,2017-01-02,2017-01-23,8763.6,XAF,2024-08-02 21:09:34.366232
Kazan State Academy of Architecture and Civil Engineering,Romanovo,Russia,Product Engineer,Centralized foreground process improvement,2018-05-14,2018-06-03,3301.47,RUB,2024-08-02 21:09:34.366232
Instituto de Estudios Superiores de la Sierra,El Refugio,Mexico,Recruiter,Up-sized methodical Graphic Interface,2017-02-10,2017-03-07,8102.91,MXN,2024-08-02 21:09:34.366232
Université des Antilles et de la Guyane,Jarry,Guadeloupe,Senior Financial Analyst,Persistent bi-directional initiative,2017-08-25,2017-12-12,346.54,EUR,2024-08-02 21:09:34.366232
Ecole Nationale Supérieure des Mines de St-Etienne,Saint-Quentin-en-Yvelines,France,Help Desk Technician,Down-sized reciprocal strategy,2017-03-21,2017-05-29,6548.42,EUR,2024-08-02 21:09:34.366232
Nordic School of Public Health,Tranås,Sweden,Engineer I,Upgradable multi-tasking function,2018-04-07,2018-04-29,2711.11,SEK,2024-08-02 21:09:34.366232
Ural State Technical University,Pyatovskiy,Russia,Senior Developer,Public-key heuristic moratorium,2016-09-26,2017-01-15,5167.27,RUB,2024-08-02 21:09:34.366232
Chongqing University of Science and Technology,Taoling,China,Dental Hygienist,Versatile didactic structure,2019-06-26,2019-07-21,7335.48,CNY,2024-08-02 21:09:34.366232
Ulyanovsk Higher School of Civil Aviation,Ust’-Uda,Russia,Media Manager I,Business-focused upward-trending neural-net,2017-12-30,2018-05-12,1832.16,RUB,2024-08-02 21:09:34.366232
"Teacher Training College of Revalidation, Rehabilitation and Physical Education",Opatów,Poland,Chief Design Engineer,Team-oriented transitional Graphic Interface,2019-06-02,2019-07-02,9196.28,PLN,2024-08-02 21:09:34.366232
University of North Carolina at Asheville,Montgomery,United States,Technical Writer,Managed multi-tasking circuit,2018-12-02,2019-06-18,3077.51,USD,2024-08-02 21:09:34.366232
Texas A&M University - Texarkana,Obiliq,Kosovo,Senior Editor,Face to face didactic budgetary management,2017-04-02,2017-08-30,1117.69,EUR,2024-08-02 21:09:34.366232
Northern Caribbean University,Yallahs,Jamaica,Developer I,Integrated neutral interface,2018-06-30,2019-01-24,4299.19,JMD,2024-08-02 21:09:34.366232
Universitat de Vic,Sevilla,Spain,Electrical Engineer,Decentralized solution-oriented monitoring,2018-02-04,2018-05-11,1632.54,EUR,2024-08-02 21:09:34.366232
University of Southern Mindanao,Kaytitinga,Philippines,Junior Executive,Business-focused reciprocal info-mediaries,2016-12-23,2017-04-23,1562.15,PHP,2024-08-02 21:09:34.366232
Huaqiao University Quanzhuo,Dianqian,China,Senior Developer,Visionary transitional portal,2017-02-15,2017-05-19,8354.33,CNY,2024-08-02 21:09:34.366232
Universitas Bhayangkara Surabaya,Tlutup,Indonesia,Senior Editor,Cloned scalable open system,2016-12-19,2017-06-02,8249.02,IDR,2024-08-02 21:09:34.366232
Al al-Bayt University,‘Izrā,Jordan,Senior Quality Engineer,De-engineered optimizing firmware,2018-03-18,2018-03-29,1972.58,JOD,2024-08-02 21:09:34.366232
Universitas Advent Indonesia,Banjar,Indonesia,Director of Sales,Streamlined 3rd generation complexity,2019-01-14,2019-07-12,3972.8,IDR,2024-08-02 21:09:34.366232
University of Primorska,Beltinci,Slovenia,Internal Auditor,Advanced 24 hour middleware,2018-10-16,2019-05-11,7130.45,EUR,2024-08-02 21:09:34.366232
Asian Institute of Technology,Kamalasai,Thailand,Chief Design Engineer,Versatile optimizing function,2019-02-11,2019-08-09,8660.13,THB,2024-08-02 21:09:34.366232
Mount St. Mary's College California,Buffalo,United States,Graphic Designer,Upgradable needs-based initiative,2019-10-24,2020-04-11,4870.29,USD,2024-08-02 21:09:34.366232
"Instituto Superior Minero Metalúrgico ""Dr. Antonio Núñez Jiménez""",Urbano Noris,Cuba,Community Outreach Specialist,Fully-configurable dynamic toolset,2019-06-01,2019-07-05,8543.35,CUP,2024-08-02 21:09:34.366232
Universitas Trisakti,Tuateta,Indonesia,Financial Advisor,Progressive systemic benchmark,2017-09-29,2018-03-13,3426.28,IDR,2024-08-02 21:09:34.366232
Universitas Pattimura,Mojoroto,Indonesia,Computer Systems Analyst III,Multi-tiered optimizing synergy,2017-07-31,2018-01-27,6463.28,IDR,2024-08-02 21:09:34.366232
Universitas Diponegoro,Soko,Indonesia,Librarian,Triple-buffered even-keeled open system,2019-12-04,2020-06-14,3263.01,IDR,2024-08-02 21:09:34.366232
University of Osijek,Jelsa,Croatia,Chief Design Engineer,Function-based asynchronous task-force,2019-03-18,2019-04-13,1162.92,HRK,2024-08-02 21:09:34.366232
Moscow State University,Peredovaya,Russia,VP Product Management,Pre-emptive coherent orchestration,2016-04-03,2016-07-22,9878.4,RUB,2024-08-02 21:09:34.366232
University School of Physical Education,Michałowo,Poland,Account Representative III,Ameliorated didactic forecast,2019-03-13,2019-10-12,7724.61,PLN,2024-08-02 21:09:34.366232
Precarpathian University,Donetsk,Ukraine,Clinical Specialist,Optional tertiary infrastructure,2018-05-18,2018-07-19,6783.84,UAH,2024-08-02 21:09:34.366232
El Shorouk Academy,Mallawī,Egypt,Account Representative I,Reverse-engineered asymmetric productivity,2018-12-23,2019-05-14,860.11,EGP,2024-08-02 21:09:34.366232
Universitas Merdeka Malang,Wolonio,Indonesia,Software Consultant,Centralized didactic firmware,2018-07-08,2018-07-27,7204.22,IDR,2024-08-02 21:09:34.366232
Tajik National University,Dushanbe,Tajikistan,Software Consultant,Streamlined multi-tasking open architecture,2018-12-13,2019-04-22,9735.76,TJS,2024-08-02 21:09:34.366232
Pan Africa Christian University,Londiani,Kenya,Actuary,Reactive human-resource system engine,2016-12-17,2017-04-04,5232.65,KES,2024-08-02 21:09:34.366232
Politeknik Negeri Bandung,Alung,Indonesia,Systems Administrator I,Grass-roots multi-state data-warehouse,2019-07-03,2019-09-17,3750.18,IDR,2024-08-02 21:09:34.366232
Free University Stockholm,Hultsfred,Sweden,VP Product Management,Streamlined incremental initiative,2016-08-01,2016-08-25,1555.83,SEK,2024-08-02 21:09:34.366232
Notre Dame of Marbel University,Cambanugoy,Philippines,Account Representative II,Automated regional collaboration,2016-10-15,2016-11-27,5148.47,PHP,2024-08-02 21:09:34.366232
Music Academy in Cracow,Głogówek,Poland,VP Marketing,Fully-configurable 5th generation matrices,2019-08-12,2019-09-15,5820.12,PLN,2024-08-02 21:09:34.366232
Dalian University of Foreign Language,Yantongtun,China,Senior Quality Engineer,Grass-roots analyzing definition,2019-02-12,2019-06-10,5755.73,CNY,2024-08-02 21:09:34.366232
Swiss German University,Wonotirto,Indonesia,Research Assistant IV,Enterprise-wide human-resource model,2018-06-22,2018-07-24,7296.08,IDR,2024-08-02 21:09:34.366232
Nivadhana University,Chang Klang,Thailand,Internal Auditor,Switchable next generation migration,2017-05-29,2017-11-02,5974.11,THB,2024-08-02 21:09:34.366232
University of Macedonia,Pérama,Greece,VP Marketing,Implemented explicit flexibility,2018-01-21,2018-02-10,6259.8,EUR,2024-08-02 21:09:34.366232
ABTI American University of Nigeria,Sauri,Nigeria,Graphic Designer,Digitized next generation contingency,2016-10-04,2016-12-11,1988.92,NGN,2024-08-02 21:09:34.366232
"University of Eastern Africa, Baraton",Litein,Kenya,Health Coach II,Object-based actuating standardization,2019-02-21,2019-04-29,2241.93,KES,2024-08-02 21:09:34.366232
University of Southern Mindanao,Conel,Philippines,Financial Analyst,Inverse actuating superstructure,2018-12-17,2019-01-29,6225.96,PHP,2024-08-02 21:09:34.366232
Université d'Antsiranana,Nosy Varika,Madagascar,Staff Accountant II,Persevering neutral algorithm,2018-12-01,2019-06-02,9288.07,MGA,2024-08-02 21:09:34.366232
Agricultural University of Cracow,Łomazy,Poland,Accountant III,Public-key composite standardization,2017-08-05,2018-03-03,8190.9,PLN,2024-08-02 21:09:34.366232
South China University of Technology,Changzheng,China,Tax Accountant,Public-key logistical success,2016-05-13,2016-12-05,2155.64,CNY,2024-08-02 21:09:34.366232
Shanghai Second Polytechnic University,Heyu,China,Environmental Specialist,Vision-oriented dynamic functionalities,2016-07-16,2016-09-09,3220.26,CNY,2024-08-02 21:09:34.366232
Danang College Of Technology,Trần Văn Thời,Vietnam,Financial Analyst,Ergonomic stable function,2016-06-13,2016-12-24,9983.26,VND,2024-08-02 21:09:34.366232
East-Siberian State Institute of Culture,Kovrov,Russia,Software Consultant,Integrated homogeneous frame,2016-07-26,2017-02-24,1785.08,RUB,2024-08-02 21:09:34.366232
Universidade de Franca,Adamantina,Brazil,Safety Technician III,Mandatory discrete throughput,2018-05-10,2018-05-16,892.11,BRL,2024-08-02 21:09:34.366232
Academy of Sports and Physical Training,Rrasa e Sipërme,Albania,Quality Engineer,Persistent background Graphic Interface,2018-08-05,2018-09-05,4610.45,ALL,2024-08-02 21:09:34.366232
Veterinärmedizinische Universität Wien,St. Anton an der Jeßnitz,Austria,Recruiting Manager,Persevering bandwidth-monitored instruction set,2016-04-14,2016-09-27,4020.07,EUR,2024-08-02 21:09:34.366232
Universitas Sultan Ageng Tirtayasa,Bunut,Indonesia,Product Engineer,Customizable mobile capacity,2017-03-15,2017-06-06,5335.76,IDR,2024-08-02 21:09:34.366232
Henan Normal University,Longkou,China,Staff Scientist,Mandatory interactive Graphic Interface,2017-06-01,2017-11-22,1254.15,CNY,2024-08-02 21:09:34.366232
Jishou University,Liangguang,China,Administrative Officer,Advanced national system engine,2019-06-24,2020-01-09,3564.42,CNY,2024-08-02 21:09:34.366232
University of Primorska,Pesnica pri Mariboru,Slovenia,Health Coach IV,Fully-configurable 24/7 infrastructure,2018-06-11,2018-08-17,5498.33,EUR,2024-08-02 21:09:34.366232
Chongqing Wenli University,Jugezhuang,China,Account Coordinator,Visionary executive projection,2017-01-18,2017-07-05,1824.21,CNY,2024-08-02 21:09:34.366232
China University of Mining Technology - Beijing,Du’ermenqin,China,Community Outreach Specialist,Reduced client-driven knowledge user,2018-03-15,2018-06-20,7772.82,CNY,2024-08-02 21:09:34.366232
University of Northern Colorado,Saint Louis,United States,Programmer II,Devolved bandwidth-monitored info-mediaries,2019-08-21,2019-12-09,6947.91,USD,2024-08-02 21:09:34.366232
Tashkent State Agrarian University,Bŭka,Uzbekistan,Marketing Manager,Persistent empowering definition,2017-01-30,2017-06-08,4387.9,UZS,2024-08-02 21:09:34.366232
"Institute of Teachers Education, Tengku Ampuan Afzan",Pulau Pinang,Malaysia,Research Assistant II,Multi-tiered regional adapter,2016-07-27,2016-09-27,4599.93,MYR,2024-08-02 21:09:34.366232
Syrian Virtual University,Tchoban Bey,Syria,VP Accounting,Horizontal intermediate core,2019-07-21,2019-10-28,6832.59,SYP,2024-08-02 21:09:34.366232
Griffith College,Moate,Ireland,Teacher,Grass-roots demand-driven capability,2019-02-17,2019-03-06,8685.48,EUR,2024-08-02 21:09:34.366232
Southwest Jiaotong University,Meizhuang,China,Health Coach III,Automated exuding Graphic Interface,2018-11-21,2019-06-27,2306.85,CNY,2024-08-02 21:09:34.366232
Hope Africa University,Gitega,Burundi,Registered Nurse,Intuitive systematic definition,2017-06-21,2017-07-04,6240.53,BIF,2024-08-02 21:09:34.366232
Maria Curie-Sklodowska University Lublin,Podebłocie,Poland,Environmental Specialist,Pre-emptive mobile budgetary management,2018-05-29,2018-10-10,2604.33,PLN,2024-08-02 21:09:34.366232
